well_name,unique_id,rxn_id,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,K,PEG,Chol_conc,Spermidine,PE_conc,plate,col,row
P15,328,58,CD81,5.0,no_lipo,3,20,1.25,85,2,0,4,0,1,14,15
J7,329,59,CD81,5.0,no_lipo,3,8,1.25,85,1,0,4,0,1,6,9
L7,330,60,CD81,5.0,no_lipo,3,14,1.25,185,1,0,4,0,1,6,11
P14,331,61,CD81,5.0,no_lipo,3,20,1.25,185,0,0,4,0,1,13,15
M5,332,62,CD81,5.0,no_lipo,3,8,0.0,85,2,0,4,0,1,4,12
O8,333,63,CD81,5.0,no_lipo,3,8,1.25,85,0,0,4,0,1,7,14
D18,334,64,CD81,5.0,no_lipo,3,14,0.0,135,0,0,4,0,1,17,3
J16,335,65,CD81,5.0,no_lipo,3,8,1.25,185,0,0,4,0,1,15,9
I21,336,66,CD81,5.0,no_lipo,3,20,0.0,185,0,0,4,0,1,20,8
M3,337,67,CD9,5.0,no_lipo,3,20,1.25,185,1,0,4,0,1,2,12
L4,338,68,CD9,5.0,no_lipo,3,14,1.25,185,2,0,4,0,1,3,11
I9,339,69,CD9,5.0,no_lipo,3,20,0.0,85,1,0,4,0,1,8,8
P7,340,70,CD9,5.0,no_lipo,3,14,0.0,185,0,0,4,0,1,6,15
D22,341,71,CD9,5.0,no_lipo,3,20,1.25,85,2,0,4,0,1,21,3
B4,342,72,CD9,5.0,no_lipo,3,14,1.25,85,2,0,4,0,1,3,1
A23,343,73,CD9,5.0,no_lipo,3,14,0.0,185,1,0,4,0,1,22,0
F1,344,74,CD9,5.0,no_lipo,3,14,0.0,135,0,0,4,0,1,0,5
O7,345,75,CD9,5.0,no_lipo,3,14,0.0,135,1,0,4,0,1,6,14
A13,346,76,AqpZ,5.0,no_lipo,3,14,1.25,85,2,0,4,0,1,12,0
